userid,probability
55597,0.5253953
55598,0.14228381
55599,0.29302794
55600,0.62282425
55601,0.5788263
55602,0.67364675
55603,0.574472
55604,0.24216211
55605,0.5920359
55606,0.22397406
55607,0.02359296
55608,0.06622482
55609,0.6227084
55610,0.53925055
55611,0.5710066
55612,0.071363136
55613,0.6616478
55614,0.2688266
55615,0.5255346
55616,0.6426186
55617,0.072383925
55618,0.17439099
55619,0.26089886
55620,0.14692207
55621,0.16721623
55622,0.52770615
55623,0.53937757
55624,0.10073892
55625,0.23245172
55626,0.26996604
55627,0.7319474
55628,0.58904034
55629,0.29747108
55630,0.54908645
55631,0.14950345
55632,0.053928997
55633,0.14474167
55634,0.75100374
55635,0.100947306
55636,0.8429191
55637,0.10364064
55638,0.59725666
55639,0.11776624
55640,0.12311971
55641,0.77891
55642,0.1442347
55643,0.26318255
55644,0.7680641
55645,0.63433963
55646,0.15469036
55647,0.8492116
55648,0.032705355
55649,0.45694888
55650,0.41060904
55651,0.10224101
55652,0.64753324
55653,0.3235865
55654,0.7560978
55655,0.65111727
55656,0.75308436
55657,0.7269681
55658,0.22844607
55659,0.47150353
55660,0.5361726
55661,0.50771743
55662,0.7143036
55663,0.6106016
55664,0.23699123
55665,0.056963976
55666,0.18441424
55667,0.12151647
55668,0.030807296
55669,0.8548372
55670,0.68749756
55671,0.6297005
55672,0.20429033
55673,0.24176921
55674,0.4576038
55675,0.6741805
55676,0.4947336
55677,0.51405454
55678,0.10404216
55679,0.70182246
55680,0.036095396
55681,0.08929419
55682,0.42472726
55683,0.22993366
55684,0.20471302
55685,0.79083824
55686,0.6918637
55687,0.70374227
55688,0.79768234
55689,0.14046451
55690,0.09042824
55691,0.29770878
55692,0.5680333
55693,0.42087808
55694,0.33374906
55695,0.6066399
55696,0.17333175
55697,0.47637233
55698,0.20023802
55699,0.24004883
55700,0.8284035
55701,0.5181258
55702,0.15348831
55703,0.55167526
55704,0.057205968
55705,0.09860357
55706,0.5889377
55707,0.51958543
55708,0.13169685
55709,0.64187145
55710,0.7203526
55711,0.74173254
55712,0.18663993
55713,0.74114656
55714,0.06116721
55715,0.119497254
55716,0.16607605
55717,0.1410325
55718,0.06299395
55719,0.7126739
55720,0.1556322
55721,0.14672118
55722,0.58676696
55723,0.6699295
55724,0.5122268
55725,0.36953348
55726,0.32732856
55727,0.7255799
55728,0.6033225
55729,0.19277509
55730,0.1558842
55731,0.06926246
55732,0.34027258
55733,0.05467224
55734,0.5985498
55735,0.2932963
55736,0.6495744
55737,0.20601381
55738,0.21849449
55739,0.5440909
55740,0.5032122
55741,0.70161486
55742,0.09857274
55743,0.12767221
55744,0.15346219
55745,0.35919553
55746,0.104890585
55747,0.0847617
55748,0.5131109
55749,0.46833143
55750,0.115907915
55751,0.5728014
55752,0.81368595
55753,0.54975927
55754,0.22971864
55755,0.07441498
55756,0.20692402
55757,0.5206629
55758,0.21303622
55759,0.11183738
55760,0.38255742
55761,0.325496
55762,0.03599189
55763,0.6409896
55764,0.119938746
55765,0.90134686
55766,0.22170803
55767,0.58054966
55768,0.48427865
55769,0.28690073
55770,0.08992761
55771,0.3374377
55772,0.7157814
55773,0.5524328
55774,0.39081827
55775,0.59291536
55776,0.0667442
55777,0.50032276
55778,0.69034684
55779,0.7521798
55780,0.12112539
55781,0.48499802
55782,0.09206321
55783,0.12454731
55784,0.35108837
55785,0.16479695
55786,0.03974258
55787,0.07673401
55788,0.09937247
55789,0.33511814
55790,0.1030579
55791,0.3107485
55792,0.6706518
55793,0.51857334
55794,0.6880911
55795,0.34896624
55796,0.52498555
55797,0.7071029
55798,0.15501955
55799,0.09229021
55800,0.7394035
55801,0.26823616
55802,0.22797936
55803,0.81051475
55804,0.11884715
55805,0.54082364
55806,0.5285153
55807,0.35866642
55808,0.60206586
55809,0.3189568
55810,0.84209174
55811,0.2051579
55812,0.56656086
55813,0.12218294
55814,0.6606971
55815,0.6461981
55816,0.74692464
55817,0.11316007
55818,0.094409965
55819,0.5678489
55820,0.3072027
55821,0.58779776
55822,0.6744097
55823,0.12340485
55824,0.21339108
55825,0.03616776
55826,0.59282404
55827,0.1004346
55828,0.27612028
55829,0.38778087
55830,0.063411444
55831,0.7467103
55832,0.11812481
55833,0.53414047
55834,0.6462648
55835,0.6700054
55836,0.42421946
55837,0.6256641
55838,0.14716053
55839,0.7217595
55840,0.5425296
55841,0.32072365
55842,0.7008044
55843,0.3041866
55844,0.18125853
55845,0.5855489
55846,0.47431672
55847,0.14462252
55848,0.47377068
55849,0.61850893
55850,0.1613734
55851,0.19021331
55852,0.062411804
55853,0.3857213
55854,0.6304246
55855,0.06864598
55856,0.31174508
55857,0.27204165
55858,0.65904635
55859,0.18276481
55860,0.5793812
55861,0.043294847
55862,0.061827697
55863,0.22864988
55864,0.08086701
55865,0.3616376
55866,0.75443655
55867,0.039661627
55868,0.5467163
55869,0.06728107
55870,0.06380931
55871,0.1776736
55872,0.028709358
55873,0.7273759
55874,0.032093693
55875,0.61905575
55876,0.14715539
55877,0.062228277
55878,0.13229595
55879,0.7545788
55880,0.266824
55881,0.16402233
55882,0.74774104
55883,0.43509066
55884,0.2777322
55885,0.24738306
55886,0.77367955
55887,0.1625813
55888,0.5996796
55889,0.7103786
55890,0.40844944
55891,0.35960764
55892,0.48242396
55893,0.64473563
55894,0.12794325
55895,0.8402441
55896,0.24328203
55897,0.08159442
55898,0.6715911
55899,0.13108435
55900,0.25273374
55901,0.1200306
55902,0.1440224
55903,0.37722456
55904,0.23526065
55905,0.24581425
55906,0.7343885
55907,0.25880098
55908,0.10041115
55909,0.41292676
55910,0.106969915
55911,0.26694945
55912,0.16973032
55913,0.30398518
55914,0.101713374
55915,0.048100114
55916,0.3229008
55917,0.4951235
55918,0.71345174
55919,0.64158696
55920,0.11599723
55921,0.61001617
55922,0.03322653
55923,0.6487941
55924,0.043072645
55925,0.22347343
55926,0.63546383
55927,0.056735355
55928,0.7276887
55929,0.5725272
55930,0.79074293
55931,0.7825668
55932,0.16340981
55933,0.55312175
55934,0.25185007
55935,0.73257464
55936,0.28710216
55937,0.27485013
55938,0.67170674
55939,0.7558108
55940,0.11616374
55941,0.7587909
55942,0.066262126
55943,0.6273772
55944,0.22213607
55945,0.02915993
55946,0.32011193
55947,0.7643898
55948,0.14426395
55949,0.13144569
55950,0.6162019
55951,0.7345289
55952,0.20565039
55953,0.83870256
55954,0.13894689
55955,0.025462901
55956,0.69288385
55957,0.44759294
55958,0.702228
55959,0.45540345
55960,0.69476
55961,0.2717287
55962,0.5789058
55963,0.16112027
55964,0.6820567
55965,0.049948726
55966,0.6272203
55967,0.13229614
55968,0.38196254
55969,0.64502627
55970,0.6283696
55971,0.39618164
55972,0.069736175
55973,0.11364502
55974,0.6273575
55975,0.8931034
55976,0.19048183
55977,0.15051621
55978,0.119891845
55979,0.1025115
55980,0.818854
55981,0.6284147
55982,0.17078196
55983,0.2213382
55984,0.65534586
55985,0.67096484
55986,0.3028529
55987,0.8505276
55988,0.692849
55989,0.1520587
55990,0.29392964
55991,0.1664205
55992,0.090182744
55993,0.2163704
55994,0.69146734
55995,0.71066266
55996,0.054875467
55997,0.55318916
55998,0.8327776
55999,0.68667394
56000,0.74342066
56001,0.20035838
56002,0.7662648
56003,0.5441731
56004,0.28596443
56005,0.08241611
56006,0.8544538
56007,0.16814914
56008,0.6897249
56009,0.52521276
56010,0.09671619
56011,0.2511749
56012,0.6365889
56013,0.022559598
56014,0.26950604
56015,0.139482
56016,0.6156613
56017,0.08404006
56018,0.045821212
56019,0.52126133
56020,0.4117666
56021,0.6284222
56022,0.3444175
56023,0.6834671
56024,0.2866002
56025,0.33163404
56026,0.10080482
56027,0.6091267
56028,0.15153517
56029,0.58256024
56030,0.7398556
56031,0.66959393
56032,0.5887516
56033,0.037909623
56034,0.110077344
56035,0.062109217
56036,0.13584933
56037,0.33095816
56038,0.43269563
56039,0.17441815
56040,0.08591535
56041,0.500448
56042,0.7609146
56043,0.24757291
56044,0.710911
56045,0.7223253
56046,0.029895673
56047,0.70593923
56048,0.26406643
56049,0.19432278
56050,0.14611372
56051,0.6462989
56052,0.32406583
56053,0.20425995
56054,0.61642814
56055,0.05614996
56056,0.64252335
56057,0.3918127
56058,0.08883004
56059,0.11575579
56060,0.09653987
56061,0.23636854
56062,0.14827926
56063,0.16302843
56064,0.4764441
56065,0.07981139
56066,0.30738008
56067,0.154493
56068,0.46364743
56069,0.76291704
56070,0.68988544
56071,0.6119752
56072,0.67094696
56073,0.55354714
56074,0.050838627
56075,0.54167956
56076,0.3389222
56077,0.73113775
56078,0.1902817
56079,0.39320785
56080,0.029430559
56081,0.1848258
56082,0.6125848
56083,0.51140785
56084,0.59112847
56085,0.6918079
56086,0.17235085
56087,0.6567045
56088,0.74115574
56089,0.42001376
56090,0.22391132
56091,0.34531075
56092,0.52989715
56093,0.12807895
56094,0.095137626
56095,0.7685074
56096,0.18604486
56097,0.6557248
56098,0.700724
56099,0.5387051
56100,0.03264024
56101,0.75197744
56102,0.16545978
56103,0.19764574
56104,0.6239755
56105,0.04472444
56106,0.03945572
56107,0.13996142
56108,0.47405317
56109,0.85731846
56110,0.5272273
56111,0.5998903
56112,0.090291604
56113,0.18258175
56114,0.031545557
56115,0.33964324
56116,0.095883615
56117,0.55532235
56118,0.6895463
56119,0.5949352
56120,0.59140724
56121,0.76518434
56122,0.097124934
56123,0.20065676
56124,0.14428754
56125,0.39105356
56126,0.531331
56127,0.57276464
56128,0.44118497
56129,0.10340953
56130,0.061282
56131,0.45444492
56132,0.22017662
56133,0.30239883
56134,0.25523117
56135,0.50874585
56136,0.14119859
56137,0.07095683
56138,0.3530065
56139,0.46478277
56140,0.18415974
56141,0.7132395
56142,0.26565978
56143,0.5940158
56144,0.27873477
56145,0.42600402
56146,0.13373786
56147,0.7400896
56148,0.15171076
56149,0.48209417
56150,0.14862444
56151,0.09020386
56152,0.03384848
56153,0.71609527
56154,0.11827056
56155,0.21095471
56156,0.141104
56157,0.5716141
56158,0.4137851
56159,0.62496275
56160,0.25461817
56161,0.79297966
56162,0.4067671
56163,0.7510023
56164,0.10218049
56165,0.107853554
56166,0.611601
56167,0.041301742
56168,0.6002838
56169,0.3597546
56170,0.15097347
56171,0.057382837
56172,0.66633517
56173,0.6365137
56174,0.2072187
56175,0.85030895
56176,0.12700555
56177,0.6772434
56178,0.44160905
56179,0.6493496
56180,0.1410279
56181,0.16831854
56182,0.6529949
56183,0.6081271
56184,0.6017378
56185,0.45376283
56186,0.6774479
56187,0.24458954
56188,0.3552905
56189,0.38532993
56190,0.08856933
56191,0.7905032
56192,0.03724102
56193,0.19377889
56194,0.20762521
56195,0.27536497
56196,0.6464012
56197,0.50099605
56198,0.32402754
56199,0.024406815
56200,0.14765047
56201,0.59702665
56202,0.06433241
56203,0.80381304
56204,0.24268244
56205,0.62297815
56206,0.69721746
56207,0.07800953
56208,0.7100944
56209,0.6019427
56210,0.27592647
56211,0.6098291
56212,0.65412337
56213,0.6735569
56214,0.6949932
56215,0.091730565
56216,0.6382936
56217,0.62302864
56218,0.49704084
56219,0.77845603
56220,0.8209863
56221,0.17081562
56222,0.69520444
56223,0.1503683
56224,0.17006873
56225,0.14087981
56226,0.5607206
56227,0.24001355
