userid,probability
55597,1.0
55598,0.6410622933978601
55599,0.7431147865896834
55600,1.0
55601,1.0
55602,1.0
55603,1.0
55604,0.7431147865896834
55605,1.0
55606,0.6584546223058079
55607,0.469805484457649
55608,0.6236699644899125
55609,1.0
55610,1.0
55611,0.7431147865896834
55612,0.8379234756068777
55613,1.0
55614,0.8379234756068777
55615,1.0
55616,0.8379234756068777
55617,0.4615934400967901
55618,0.8063205792678129
55619,0.6236699644899125
55620,0.7206921747977074
55621,0.7431147865896834
55622,1.0
55623,0.8379234756068777
55624,0.6758469512137555
55625,0.43995417492527417
55626,0.8379234756068777
55627,1.0
55628,1.0
55629,0.7431147865896834
55630,1.0
55631,0.6236699644899125
55632,0.4862295731793668
55633,0.7431147865896834
55634,1.0
55635,0.6982695630057314
55636,1.0
55637,0.8379234756068777
55638,1.0
55639,0.8379234756068777
55640,0.6758469512137555
55641,1.0
55642,0.6758469512137555
55643,0.7431147865896834
55644,1.0
55645,0.8379234756068777
55646,0.7431147865896834
55647,1.0
55648,0.4615934400967901
55649,0.9459744918689592
55650,1.0
55651,0.7431147865896834
55652,1.0
55653,0.7431147865896834
55654,1.0
55655,1.0
55656,1.0
55657,1.0
55658,0.7431147865896834
55659,1.0
55660,1.0
55661,1.0
55662,1.0
55663,1.0
55664,0.6236699644899125
55665,0.5449936714949789
55666,0.7431147865896834
55667,0.8379234756068777
55668,0.4862295731793668
55669,1.0
55670,1.0
55671,1.0
55672,0.7431147865896834
55673,0.8379234756068777
55674,1.0
55675,1.0
55676,1.0
55677,1.0
55678,0.7431147865896834
55679,1.0
55680,0.5149978904983262
55681,0.6236699644899125
55682,1.0
55683,0.7431147865896834
55684,0.6236699644899125
55685,1.0
55686,1.0
55687,1.0
55688,1.0
55689,0.5449936714949789
55690,0.8379234756068777
55691,0.6758469512137555
55692,0.8379234756068777
55693,1.0
55694,0.8379234756068777
55695,1.0
55696,0.5137704268206332
55697,1.0
55698,0.7431147865896834
55699,0.7431147865896834
55700,1.0
55701,1.0
55702,0.3667847510795959
55703,1.0
55704,0.42693358988588526
55705,0.6236699644899125
55706,1.0
55707,1.0
55708,0.6758469512137555
55709,1.0
55710,0.8379234756068777
55711,1.0
55712,0.5832339660604842
55713,1.0
55714,0.6758469512137555
55715,0.5810382621965612
55716,0.8379234756068777
55717,0.4127230224547682
55718,0.5810382621965612
55719,1.0
55720,0.41896173780343887
55721,0.5137704268206332
55722,0.7431147865896834
55723,1.0
55724,1.0
55725,0.7665056385678893
55726,0.8379234756068777
55727,1.0
55728,0.8379234756068777
55729,0.351693902427511
55730,0.5810382621965612
55731,0.6758469512137555
55732,0.6236699644899125
55733,0.6758469512137555
55734,0.7431147865896834
55735,1.0
55736,1.0
55737,1.0
55738,0.8379234756068777
55739,0.8919489837379184
55740,1.0
55741,1.0
55742,0.4862295731793668
55743,0.6758469512137555
55744,0.6236699644899125
55745,0.8063205792678129
55746,0.8379234756068777
55747,0.7431147865896834
55748,1.0
55749,1.0
55750,0.5449936714949789
55751,1.0
55752,1.0
55753,1.0
55754,1.0
55755,0.6584546223058079
55756,0.8379234756068777
55757,0.8379234756068777
55758,0.8379234756068777
55759,0.43930734687559353
55760,0.8379234756068777
55761,1.0
55762,0.5449936714949789
55763,1.0
55764,0.612641158535626
55765,1.0
55766,0.6758469512137555
55767,0.32415304878624457
55768,1.0
55769,0.8379234756068777
55770,0.6758469512137555
55771,0.8379234756068777
55772,1.0
55773,1.0
55774,1.0
55775,1.0
55776,0.5974445334916012
55777,0.8379234756068777
55778,1.0
55779,1.0
55780,0.8379234756068777
55781,1.0
55782,0.7431147865896834
55783,0.7431147865896834
55784,0.8379234756068777
55785,0.7431147865896834
55786,0.6236699644899125
55787,0.6236699644899125
55788,0.8379234756068777
55789,0.6236699644899125
55790,0.5449936714949789
55791,0.8379234756068777
55792,1.0
55793,1.0
55794,0.7665056385678893
55795,0.7431147865896834
55796,1.0
55797,1.0
55798,0.8379234756068777
55799,0.6758469512137555
55800,1.0
55801,0.5810382621965612
55802,0.6758469512137555
55803,1.0
55804,0.7431147865896834
55805,1.0
55806,1.0
55807,0.6758469512137555
55808,1.0
55809,0.8379234756068777
55810,1.0
55811,0.6236699644899125
55812,1.0
55813,0.7431147865896834
55814,1.0
55815,1.0
55816,1.0
55817,0.7431147865896834
55818,0.5810382621965612
55819,0.8379234756068777
55820,0.8379234756068777
55821,1.0
55822,0.7431147865896834
55823,0.7431147865896834
55824,0.5449936714949789
55825,0.5449936714949789
55826,1.0
55827,0.7206921747977074
55828,0.8379234756068777
55829,0.8379234756068777
55830,0.40024559175742674
55831,1.0
55832,0.4862295731793668
55833,0.9459744918689592
55834,1.0
55835,1.0
55836,0.8379234756068777
55837,0.9459744918689592
55838,0.6758469512137555
55839,1.0
55840,1.0
55841,0.8379234756068777
55842,1.0
55843,1.0
55844,0.8379234756068777
55845,1.0
55846,0.8379234756068777
55847,0.8379234756068777
55848,0.8379234756068777
55849,1.0
55850,0.7431147865896834
55851,0.5810382621965612
